Year,Date,Site_number,Sampling_Day,Sampling_Day_same,Sampling Time,Concentration,Drug,Conc2
2022,6/6/2022,4,1,2,During,195.5,TCS,0.1955
2022,6/9/2022,4,2,3,After ,195.5,TCS,0.1955
2022,7/7/2022,4,3,4,After ,195.5,TCS,0.1955
2022,6/2/2022,5,0,1,Before,195.5,TCS,0.1955
2022,6/6/2022,5,1,2,During,195.5,TCS,0.1955
2022,6/9/2022,5,2,3,After ,195.5,TCS,0.1955
2022,7/7/2022,5,3,4,After ,195.5,TCS,0.1955
2022,6/2/2022,6,0,1,Before,195.5,TCS,0.1955
2022,6/6/2022,6,1,2,During,195.5,TCS,0.1955
2022,6/9/2022,6,2,3,After ,195.5,TCS,0.1955
2022,7/7/2022,6,3,4,After ,195.5,TCS,0.1955
2023,6/1/2023,1,1-Jun-23,1,Before,0,TCS,0
2023,6/1/2023,2,1-Jun-23,1,Before,0,TCS,0
2023,6/1/2023,3,1-Jun-23,1,Before,0,TCS,0
2023,6/1/2023,4,1-Jun-23,1,Before,0,TCS,0
2023,6/1/2023,5,1-Jun-23,1,Before,0,TCS,0
2023,6/1/2023,6,1-Jun-23,1,Before,0,TCS,0
2023,6/4/2023,1,4-Jun-23,2,During,0,TCS,0
2023,6/4/2023,2,4-Jun-23,2,During,0,TCS,0
2023,6/4/2023,3,4-Jun-23,2,During,0,TCS,0
2023,6/4/2023,4,4-Jun-23,2,During,0,TCS,0
2023,6/4/2023,5,4-Jun-23,2,During,0,TCS,0
2023,6/4/2023,6,4-Jun-23,2,During,0,TCS,0
2023,6/7/2023,1,7-Jun-23,3,After ,49.61,TCS,0.04961
2023,6/7/2023,2,7-Jun-23,3,After ,52.402,TCS,0.052402
2023,6/7/2023,3,7-Jun-23,3,After ,50.674,TCS,0.050674
2023,6/7/2023,4,7-Jun-23,3,After ,0,TCS,0
2023,6/7/2023,5,7-Jun-23,3,After ,53.052,TCS,0.053052
2023,6/7/2023,6,7-Jun-23,3,After ,48.19,TCS,0.04819
2023,6/29/2023,1,29-Jun-23,4,After ,55.666,TCS,0.055666
2023,6/29/2023,2,29-Jun-23,4,After ,51.11,TCS,0.05111
2023,6/29/2023,3,29-Jun-23,4,After ,0,TCS,0
2023,6/29/2023,4,29-Jun-23,4,After ,48.572,TCS,0.048572
2023,6/29/2023,5,29-Jun-23,4,After ,57.502,TCS,0.057502
2023,6/29/2023,6,29-Jun-23,4,After ,54.08,TCS,0.05408
